Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2019;A;170.0;170.0;2550.0;15.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2020;A;150.0;150.0;3750.0;25.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2021;A;180.0;180.0;4500.0;25.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2022;A;160.0;180.0;4500.0;25.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;A;50.0;150.0;3750.0;25.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;B;4.0;0.0;0.0;0.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2019;A;80.0;80.0;96.0;1.2;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2019;B;400.0;400.0;560.0;1.4;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;A;20.0;20.0;56.0747663551402;2.8;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;B;200.0;200.0;560.747663551402;2.8;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;A;28.0;28.0;33.6;1.2;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;B;280.0;280.0;420.0;1.5;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;A;35.0;35.0;65.4205607476636;1.87;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;B;230.0;210.0;392.523364485981;1.87;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;A;20.0;18.0;29.4392523364486;1.64;Pisum sativum;Grano
Boyacá;Tunja;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;B;400.0;400.0;747.663551401869;1.87;Pisum sativum;Grano
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;A;160.0;160.0;480.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;B;100.0;100.0;300.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2020;A;160.0;160.0;480.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2020;B;100.0;100.0;300.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2021;A;150.0;150.0;450.0;3.0;Avena sativa;En fresco
